[2021-11-23T16:08:20.924] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:08:20.924] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T16:08:20.924] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T16:11:52.997] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:11:52.997] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListeners]type:\"Pause\""]
[2021-11-23T16:11:52.997] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListeners]type:\"Pause\""]
[2021-11-23T16:11:52.998] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T16:11:52.998] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListener]type:\"Pause\",key:undefined"]
[2021-11-23T16:11:52.998] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListener]type:\"Pause\",key:undefined"]
[2021-11-23T18:25:34.906] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T18:25:34.907] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T18:25:34.907] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-23T18:25:34.908] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
